"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"RB1","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"2",1,"Jahmyr Gibbs",DET,"RB2","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-1"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",1,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"9",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","-1"
"11",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"12",2,"Ashton Jeanty",LV,"RB6","13","","","2 out of 5 stars","0"
"13",2,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+8"
"14",2,"De'Von Achane",MIA,"RB7","6","","","3 out of 5 stars","0"
"15",2,"Nico Collins",HOU,"WR8","8","","","3 out of 5 stars","+8"
"16",3,"Saquon Barkley",PHI,"RB8","10","","","4 out of 5 stars","-3"
"17",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"18",3,"Chase Brown",CIN,"RB9","6","","","2 out of 5 stars","-1"
"19",3,"A.J. Brown",NE,"WR9","11","","","2 out of 5 stars","+1"
"20",3,"Omarion Hampton",LAC,"RB10","7","","","3 out of 5 stars","-5"
"21",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+4"
"22",3,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"23",3,"Derrick Henry",BAL,"RB11","13","","","3 out of 5 stars","-1"
"24",3,"Kenneth Walker III",KC,"RB12","5","","","3 out of 5 stars","-6"
"25",3,"Chris Olave",NO,"WR11","8","","","3 out of 5 stars","+2"
"26",3,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"27",3,"Rashee Rice",KC,"WR12","5","","","2 out of 5 stars","+1"
"28",4,"DeVonta Smith",PHI,"WR13","10","","","4 out of 5 stars","+1"
"29",4,"Jeremiyah Love",ARI,"RB13","14","","","2 out of 5 stars","-3"
"30",4,"Tetairoa McMillan",CAR,"WR14","5","","","2 out of 5 stars","+11"
"31",4,"Tee Higgins",CIN,"WR15","6","","","4 out of 5 stars","+6"
"32",4,"Kyren Williams",LAR,"RB14","11","","","5 out of 5 stars","-2"
"33",4,"Zay Flowers",BAL,"WR16","13","","","4 out of 5 stars","+1"
"34",4,"Lamar Jackson",BAL,"QB2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"35",4,"Drake Maye",NE,"QB3","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+23"
"36",4,"Breece Hall",NYJ,"RB15","13","","","3 out of 5 stars","-5"
"37",4,"Malik Nabers",NYG,"WR17","8","","","4 out of 5 stars","+2"
"38",4,"Josh Jacobs",GB,"RB16","11","","","4 out of 5 stars","0"
"39",4,"Garrett Wilson",NYJ,"WR18","13","","","4 out of 5 stars","+4"
"40",4,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5"
"41",4,"Ladd McConkey",LAC,"WR19","7","","","2 out of 5 stars","+1"
"42",4,"Javonte Williams",DAL,"RB17","14","","","4 out of 5 stars","-10"
"43",4,"Emeka Egbuka",TB,"WR20","10","","","4 out of 5 stars","-7"
"44",4,"Jaylen Waddle",DEN,"WR21","10","","","2 out of 5 stars","+7"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-12"
"46",4,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"47",4,"Terry McLaurin",WAS,"WR22","7","","","2 out of 5 stars","+5"
"48",5,"Luther Burden III",CHI,"WR23","10","","","3 out of 5 stars","-3"
"49",5,"Davante Adams",LAR,"WR24","11","","","1 out of 5 stars","+7"
"50",5,"Cam Skattebo",NYG,"RB19","8","","","4 out of 5 stars","-10"
"51",5,"Jameson Williams",DET,"WR25","6","","","4 out of 5 stars","+8"
"52",5,"Bucky Irving",TB,"RB20","10","","","2 out of 5 stars","+5"
"53",5,"D'Andre Swift",CHI,"RB21","10","","","2 out of 5 stars","0"
"54",5,"Quinshon Judkins",CLE,"RB22","11","","","3 out of 5 stars","-6"
"55",5,"Mike Evans",SF,"WR26","8","","","2 out of 5 stars","-1"
"56",5,"Tyler Warren",IND,"TE4","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6"
"57",5,"Christian Watson",GB,"WR27","11","","","5 out of 5 stars","+7"
"58",5,"TreVeyon Henderson",NE,"RB23","11","","","2 out of 5 stars","-3"
"59",5,"Jayden Daniels",WAS,"QB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"60",5,"DJ Moore",BUF,"WR28","7","","","4 out of 5 stars","-14"
"61",5,"Jalen Hurts",PHI,"QB6","10","","","5 out of 5 stars","+5"
"62",5,"Rome Odunze",CHI,"WR29","10","","","3 out of 5 stars","+1"
"63",5,"David Montgomery",HOU,"RB24","8","","","4 out of 5 stars","-16"
"64",5,"Bhayshul Tuten",JAC,"RB25","7","","","4 out of 5 stars","-4"
"65",5,"Tucker Kraft",GB,"TE5","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"66",5,"Carnell Tate",TEN,"WR30","9","","","3 out of 5 stars","+3"
"67",5,"Caleb Williams",CHI,"QB7","10","","","3 out of 5 stars","-2"
"68",6,"Justin Herbert",LAC,"QB8","7","","","2 out of 5 stars","+15"
"69",6,"Jadarian Price",SEA,"RB26","11","","","4 out of 5 stars","-7"
"70",6,"Jaylen Warren",PIT,"RB27","9","","","2 out of 5 stars","+2"
"71",6,"Marvin Harrison Jr.",ARI,"WR31","14","","","2 out of 5 stars","+2"
"72",6,"Alec Pierce",IND,"WR32","13","","","4 out of 5 stars","+12"
"73",6,"Trevor Lawrence",JAC,"QB9","7","","","4 out of 5 stars","+6"
"74",6,"DK Metcalf",PIT,"WR33","9","","","3 out of 5 stars","+12"
"75",6,"Rhamondre Stevenson",NE,"RB28","11","","","2 out of 5 stars","0"
"76",6,"Chuba Hubbard",CAR,"RB29","5","","","1 out of 5 stars","+1"
"77",6,"Tony Pollard",TEN,"RB30","9","","","3 out of 5 stars","-6"
"78",6,"Harold Fannin Jr.",CLE,"TE6","11","","","3 out of 5 stars","-2"
"79",6,"Courtland Sutton",DEN,"WR34","10","","","2 out of 5 stars","+8"
"80",6,"Rico Dowdle",PIT,"RB31","9","","","2 out of 5 stars","+5"
"81",6,"Brian Thomas Jr.",JAC,"WR35","7","","","4 out of 5 stars","-14"
"82",6,"Dak Prescott",DAL,"QB10","14","","","2 out of 5 stars","-12"
"83",6,"Kyle Pitts Sr.",ATL,"TE7","11","","","3 out of 5 stars","-9"
"84",6,"Sam LaPorta",DET,"TE8","6","","","3 out of 5 stars","-3"
"85",6,"Jaxson Dart",NYG,"QB11","8","","","4 out of 5 stars","+6"
"86",6,"Chris Godwin Jr.",TB,"WR36","10","","","4 out of 5 stars","+6"
"87",6,"Jordyn Tyson",NO,"WR37","8","","","3 out of 5 stars","-7"
"88",6,"RJ Harvey",DEN,"RB32","10","","","2 out of 5 stars","-6"
"89",6,"Parker Washington",JAC,"WR38","7","","","4 out of 5 stars","-11"
"90",6,"Brock Purdy",SF,"QB12","8","","","1 out of 5 stars","+8"
"91",6,"Michael Wilson",ARI,"WR39","14","","","2 out of 5 stars","-2"
"92",6,"Kyle Monangai",CHI,"RB33","10","","","2 out of 5 stars","-2"
"93",6,"Makai Lemon",PHI,"WR40","10","","","4 out of 5 stars","+2"
"94",6,"Blake Corum",LAR,"RB34","11","","","5 out of 5 stars","+5"
"95",6,"Michael Pittman Jr.",PIT,"WR41","9","","","3 out of 5 stars","+8"
"96",7,"J.K. Dobbins",DEN,"RB35","10","","","2 out of 5 stars","+1"
"97",7,"Patrick Mahomes II",KC,"QB13","5","","","2 out of 5 stars","-3"
"98",7,"Jakobi Meyers",JAC,"WR42","7","","","4 out of 5 stars","+14"
"99",7,"Bo Nix",DEN,"QB14","10","","","3 out of 5 stars","+8"
"100",7,"Kenny Gainwell",TB,"RB36","10","","","2 out of 5 stars","+2"
"101",7,"Quentin Johnston",LAC,"WR43","7","","","2 out of 5 stars","-8"
"102",7,"Travis Kelce",KC,"TE9","5","","","4 out of 5 stars","+4"
"103",7,"Matthew Stafford",LAR,"QB15","11","","","3 out of 5 stars","-15"
"104",7,"Jordan Addison",MIN,"WR44","6","","","5 out of 5 stars","+4"
"105",7,"Ricky Pearsall",SF,"WR45","8","","","2 out of 5 stars","+6"
"106",7,"Wan'Dale Robinson",TEN,"WR46","9","","","3 out of 5 stars","+3"
"107",7,"Aaron Jones Sr.",MIN,"RB37","6","","","4 out of 5 stars","+17"
"108",7,"Dalton Kincaid",BUF,"TE10","7","","","3 out of 5 stars","+6"
"109",7,"Rachaad White",WAS,"RB38","7","","","4 out of 5 stars","+4"
"110",7,"Jared Goff",DET,"QB16","6","","","5 out of 5 stars","-9"
"111",7,"Jayden Reed",GB,"WR47","11","","","5 out of 5 stars","-6"
"112",7,"George Kittle",SF,"TE11","8","","","3 out of 5 stars","-16"
"113",7,"Kyler Murray",MIN,"QB17","6","","","5 out of 5 stars","+3"
"114",7,"Josh Downs",IND,"WR48","13","","","4 out of 5 stars","-4"
"115",7,"Jacory Croskey-Merritt",WAS,"RB39","7","","","4 out of 5 stars","+10"
"116",7,"Jake Ferguson",DAL,"TE12","14","","","2 out of 5 stars","+2"
"117",7,"Isaiah Likely",NYG,"TE13","8","","","3 out of 5 stars","-17"
"118",7,"Dallas Goedert",PHI,"TE14","10","","","4 out of 5 stars","-1"
"119",7,"Jordan Mason",MIN,"RB40","6","","","4 out of 5 stars","0"
"120",7,"Jordan Love",GB,"QB18","11","","","4 out of 5 stars","0"
"121",7,"Xavier Worthy",KC,"WR49","5","","","2 out of 5 stars","-6"
"122",7,"Baker Mayfield",TB,"QB19","10","","","2 out of 5 stars","0"
"123",7,"Jayden Higgins",HOU,"WR50","8","","","3 out of 5 stars","+11"
"124",7,"Tyrone Tracy Jr.",NYG,"RB41","8","","","4 out of 5 stars","+7"
"125",7,"Tyler Shough",NO,"QB20","8","","","3 out of 5 stars","-2"
